Avance,Contratista,Departamento - Ciudad,Estado,Extensión de la Obra,Fecha de Finalización,Fecha de Inicio,Fuente de Financiación,Información Adicional,Inversión,Localidades Beneficiadas,Nombre,Plazo de Ejecución (en meses),Tipo
96%,Consorcio Victoria,Guairá - Villarrica,EN CONSTRUCCIÓN,21.41,"Sáb, 28 Mayo 2016","Jue, 31 Enero 2013",Fondo Local,Pavimentación tipo empedrado del tramo Villarrica - Itapé,Gs. 25.666.621.486,Villarrica - Itapé,Pavimentación tipo empedrado del tramo Villarrica - Itapé,,Pavimentación Tipo Empedrado
99%,Constructora Feldmann S.A.,Guairá - Colonia Independencia,EN CONSTRUCCIÓN,22 kms.,"Vie, 14 Octubre 2016","Jue, 31 Enero 2013",Fondo Local,Pavimentación asfáltica sobre empedrado del tramo Colonia Independencia - Paso Yobai.,Gs. 47.979.171.210,Colonia Independencia - Paso Yobai,Pavimentación asfáltica sobre empedrado del tramo Colonia Independencia - Paso Yobai,,Pavimentación Asfáltica
85%,Consorcio del Norte,Amambay - Zanja Pytá,EN CONSTRUCCIÓN,"17,54 Kms.","Jue, 14 Junio 2018","Lun, 06 Abril 2015",BID,"Construccion de Obras de Caminos Vecinales en el tramo
Lote 6: Amambay – Tramo 6.06 – Carpintería Cue – Cerro Hu – Cerro Perõ – Puente Capi’í. Longitud 17,54: Consorcio del Norte (Ing. Ricardo Arévalo-Jonica S.A.), por 7.048.980.853.",Gs. 8.548.394.838,Zanja Pytá - Carpintería Cué - Fortuna Guazú,Construccion de Obras de Caminos Vecinales en el tramo Carpintería Cué - Cerro Jhu - Cerro Perõ - Puente Capi'i,38,Ripio / Empedrado
100%,Talavera Ortellado Construcciones S.A. (T.O.C. S.A.),Concepción - Concepción,FINALIZADA,40 kms,"Mar, 02 Febrero 2016","Vie, 22 Febrero 2013",Fondo Local,Pavimentación tipo empedrado del tramo Horqueta - Río Ypane,Gs. 77.078.866.790,Horqueta,Pavimentación tipo empedrado del tramo Horqueta - Río Ypane,,Pavimentación Tipo Empedrado
100%,Consorcio ROTEC,Caaguazú - Raúl Arsenio Oviedo,FINALIZADA,35 kms,"Lun, 11 Enero 2016","Mié, 20 Marzo 2013",Fondo Local,Pavimentación tipo empedrado del tramo Raúl A. Oviedo - Nueva Toledo,Gs. 72.532.645.369,Raúl Arsenio Oviedo - Nueva Toledo,Pavimentación tipo empedrado del tramo Raúl A. Oviedo - Nueva Toledo,,Pavimentación Tipo Empedrado
100%,Consorcio Nacional Pétreo,Caaguazú - R. I. Tres Corrales,EN CONSTRUCCIÓN,21.34,"Mié, 08 Marzo 2017","Vie, 22 Febrero 2013",Fondo Local,Pavimentación tipo empedrado del tramo Empalme Ruta Nº 8 - Empalme A° Guazú (Ruta Nº 7) - R.I. 3 Corrales,Gs. 65.868.129.444,R.I. Tres Corrales,Pavimentación tipo empedrado del tramo Empalme Ruta Nº 8 - Empalme A° Guazú (Ruta Nº 7) - R.I. 3 Corrales,,Pavimentación Tipo Empedrado
100%,Constructora Heisecke,Caazapá - Caazapá,FINALIZADA,199 mts,"Mar, 30 Agosto 2016","Vie, 01 Julio 2016",Fondo Local,Mejoramiento de Transitabilidad de caminos no pavimentados en el Departamento de Caazaapá.,Gs. 2.012.954.650,Caazapá,Mejoramiento de Transitabilidad de caminos no pavimentados en el Departamento de Caazaapá.,,Mejoramiento de transitabilidad de caminos no pavimentados
90%,Consorcio Vial Paraguarí,Paraguarí - Acahay,EN CONSTRUCCIÓN,"56,90","Mar, 25 Julio 2017","Lun, 01 Febrero 2016",Fondo Local,"Llamado MOPC 51-2014 - Rehabilitacion de Tramos de Caminos Vecinales en los Departamentos de Paraguarí, Guairá y Misiones. Convenio de Prestamo PG - P16 - JICA. Paquete 1",Gs. 49.369.973.610,Paraguarí,"Rehabilitacion de Tramos de Caminos Vecinales en los Departamentos de Paraguarí, Guairá y Misiones. Convenio de Prestamo PG - P16 - JICA. Paquete 1",,Rehabilitación de Tramos
91%,Consorcio Vial Nuevo Horizonte,Concepción - Azotey,EN CONSTRUCCIÓN,38.70 kms,"Sáb, 07 Enero 2017","Mié, 20 Marzo 2013",Fondo Local,Pavimentación tipo empedrado del tramo Curuzú de Hierro - Azotey,Gs. 91.394.435.093,Curuzú de Hierro - Azotey,Pavimentación tipo empedrado del tramo Curuzú de Hierro - Azotey,,Pavimentación Tipo Empedrado
100%,Constructora Heisecke,Alto Paraná - Ciudad del Este,FINALIZADA,"307,00","Vie, 09 Septiembre 2016","Lun, 11 Julio 2016",Fondo Local,Mejoramiento de Transitabilidad de caminos no pavimentados en el Departamento de Alto Paraná.,Gs. 2.824.415.043,Alto Paraná,Mejoramiento de Transitabilidad de caminos no pavimentados en el Departamento de Alto Paraná.,,Mejoramiento de transitabilidad de caminos no pavimentados
64%,14 de Julio S.A.,Guairá - Borja,EN CONSTRUCCIÓN,"47,84","Mar, 24 Abril 2018","Mar, 01 Diciembre 2015",Fondo Local,"Llamado MOPC 51-2014 - Rehabilitacion de Tramos de Caminos Vecinales en los Departamentos de Paraguarí, Guairá y Misiones. Convenio de Prestamo PG - P16 - JICA. Paquete 2",Gs. 41.838.597.724,Guairá,"Rehabilitacion de Tramos de Caminos Vecinales en los Departamentos de Paraguarí, Guairá y Misiones. Convenio de Prestamo PG - P16 - JICA. Paquete 2",29,Rehabilitación de Tramos
0%,Consorcio Arroyo Pucu,Concepción - Concepción,FINALIZADA,120,"Mié, 09 Diciembre 2015","Jue, 02 Mayo 2013",BID,Construcción de Puentes de Hormigón Armado en varios tramos.,Gs. 6.259.805.275,Concepción - Horqueta,Construcción de Puentes de Hormigón Armado en varios tramos,,Puente de Hormigón Armado
99%,Consorcio Aguaty,Misiones - Ayolas,EN CONSTRUCCIÓN,"44,46 kms","Mar, 03 Julio 2018","Lun, 01 Febrero 2016",JICA,"Llamado MOPC 51-2014 - Rehabilitación de Tramos de Caminos Vecinales en los Departamentos de Paraguarí, Guairá y Misiones. Convenio de Préstamo PG - P16 - JICA. Paquete 3",Gs. 40.131.239.320,Misiones,"Rehabilitacion de Tramos de Caminos Vecinales en los Departamentos de Paraguarí, Guairá y Misiones. Convenio de Prestamo PG - P16 - JICA. Paquete 3",29,Rehabilitación de Tramos
0%,EDIVISA,Concepción - Concepción,FINALIZADA,73,"Mar, 01 Diciembre 2015","Jue, 02 Mayo 2013",BID,Construcción de Puentes de Hormigón Armado en varios tramos,Gs. 4.781.571.077,Concepción - Bella Vista Norte,Construcción de Puentes de Hormigón Armado en varios tramos,,Puente de Hormigón Armado
100%,EDIVISA,Concepción - Concepción,FINALIZADA,"220,00","Mar, 30 Agosto 2016","Vie, 01 Julio 2016",Fondo Local,Mejoramiento de Transitabilidad de caminos no pavimentados en el Departamento de Concepción.,Gs. 1.765.719.120,Concepción,Mejoramiento de Transitabilidad de caminos no pavimentados en el Departamento de Concepción.,,Mejoramiento de transitabilidad de caminos no pavimentados
95%,VIALTEC S.A.,Concepción - Concepción,EN CONSTRUCCIÓN,"36,38","Mar, 03 Julio 2018","Lun, 04 Enero 2016",Fondo Local,"Llamado MOPC 62-2014 - Mejoramiento y Rehabilitación de Caminos Vecinales en el Departamentos de Concepción. Convenio de Préstamo BID - 2163/OC - PR Y 2164/BL-PR.
Programa Nacional de Caminos rurales - 2da Etapa - Fase II. Paquete 1",Gs. 25.789.301.399,Concepción,"Mejoramiento y Rehabilitacion de Caminos Vecinales en el Departamentos de Concepcion. Convenio de Prestamo BID - 2163/OC - PR Y 2164/BL-PR Programa Nacional de Caminos rurales - 2da Etapa - Fase II. Paquete 1""",31,Rehabilitación de Tramos
100%,Ing. Hugo Navarro,San Pedro - Villa del Rosario,FINALIZADA,60,"Sáb, 21 Febrero 2015","Jue, 02 Mayo 2013",BID,Construcción de Puente de HºAº en el tramo Villa del Rosario - Volendam (Cauce Arroyo Kuarepoti). (2da Tanda),Gs. 2.954.056.900,Villa del Rosario,Construcción de Puente de Hormigón Armado en el tramo Villa del Rosario - Volendam (Cauce Arroyo Kuarepoti).,,Puente de Hormigón Armado
100%,T&C S.A.,Ñeembucú - Pilar,FINALIZADA,288 kms.,"Jue, 01 Septiembre 2016","Vie, 01 Julio 2016",Fondo Local,Mejoramiento de Transitabilidad de caminos no pavimentados en el Departamento de Ñeembucú.,Gs. 2.544.115.104,Ñeembucú,Mejoramiento de Transitabilidad de caminos no pavimentados en el Departamento de Ñeembucú.,,Mejoramiento de transitabilidad de caminos no pavimentados
75%,Covipa S.A.,Concepción - Concepción,EN REPARACIÓN,"26,90","Sáb, 19 Agosto 2017","Mar, 24 Noviembre 2015",Fondo Local,"Llamado MOPC 62-2014 - Mejoramiento y Rehabilitacion de Caminos Vecinales en el Departamentos de Concepcion. Convenio de Prestamo BID - 2163/OC - PR Y 2164/BL-PR
Programa Nacional de Caminos rurales - 2da Etapa - Fase II. Paquete 2""",Gs. 14.654.680.560,Concepción,"Mejoramiento y Rehabilitacion de Caminos Vecinales en el Departamentos de Concepcion. Convenio de Prestamo BID - 2163/OC - PR Y 2164/BL-PR Programa Nacional de Caminos rurales - 2da Etapa - Fase II. Paquete 2""",21,Rehabilitación de Tramos
100%,Consorcio Emprendimientos del Sur,Concepción - Concepción,FINALIZADA,"14,02","Lun, 02 Octubre 2017","Lun, 04 Enero 2016",Fondo Local,"""Llamado MOPC 62-2014 - Mejoramiento y Rehabilitacion de Caminos Vecinales en el Departamentos de Concepcion. Convenio de Prestamo BID - 2163/OC - PR Y 2164/BL-PR
Programa Nacional de Caminos rurales - 2da Etapa - Fase II. Paquete 3""",Gs. 18.081.886.786,Concepción,"Mejoramiento y Rehabilitacion de Caminos Vecinales en el Departamentos de Concepcion. Convenio de Prestamo BID - 2163/OC - PR Y 2164/BL-PR Programa Nacional de Caminos rurales - 2da Etapa - Fase II. Paquete 3""",22,Ripio / Empedrado
50%,Consorcio Bella Vista,Alto Paraná - Ciudad del Este,FINALIZADA,"6,68","Jue, 18 Enero 2018","Lun, 18 Enero 2016",Fondo Local,"Ampliación y mejoramiento de la Avenida Perú, que une la Ruta 7 “Dr. José Gaspar Rodríguez de Francia” con la supercarretera “Mariscal López” de Hernandarias. Los trabajos fueron ejecutados por el Consorcio Bella Vista, con una inversión inicial de G. 75.000 millones, financiados con fondos del Ministerio de Obras Públicas y Comunicaciones (MOPC).
Cuenta con una calzada central para la circulación de motocicletas, calzadas laterales para automóviles, una ciclovía y veredas, totalmente iluminada. Cuenta con retornos cada 400 m.
Se construyeron dos puentes de hormigón armado de 125 metros cada uno, sobre el río Acaray, y en la intersección con la supercarretera, un paso a desnivel con una longitud de 35 metros y 9 de ancho, en sentido a Hernandarias,",Gs. 74.869.949.514,Alto Paraná,Pavimentación en la Avda. Perú de Ciudad del Este,,Pavimentación Asfáltica
100%,Constructora Heisecke S.A.,Presidente Hayes - Benjamín Aceval,FINALIZADA,"324,50 Kms.","Mar, 26 Abril 2016","Lun, 02 Febrero 2015",Fondo Local,"Alcance de los trabajos: fresado y reposición de mezcla asfáltica en el Puente Remanso, bacheo superficial y profundo de calzadas, señalización horizontal y vertical, limpieza de franja de dominio.",Gs. 35.919.714.175,Mariano Roque Alonso - Remansito - Pto. Falcón - Villa Hayes - Benjamín Aceval - Pozo Colorado - Colonia Río Verde,Mejoramiento de tramos en la Ruta N° 9 : Km. 21 - Km. 326 y Acceso a Puerto Falcón,15,Pavimentación Asfáltica
10%,Consorcio D-R,Central - Asunción,EN CONSTRUCCIÓN,"15,053 kilometros","Sáb, 27 Octubre 2018","Vie, 27 Mayo 2016",FOCEM,"Construcción de la Avenida Costanera Norte de Asunción - 2ª Etapa y
Conexión (Av. Primer Presidente) con la Ruta Nacional N°9",Gs. 361.575.154.613,Central,Construcción de la Avda. Costanera Norte de Asunción 2da. Etapa Bañado Norte y conexión a la Avda. 1er. Presidente con la Ruta N°9,24,Costanera
100%,Consorcio Concret Mix & Asociados - 8A S.A.,Boquerón - Mariscal José Félix Estigarribia,FINALIZADA,"255,00 Kms.","Jue, 17 Agosto 2017","Jue, 19 Marzo 2015",Fondo Local,"Alcance de los trabajos: reconstrucción de tramos de calzada (7 km aprox.), bacheo superficial y profundo de calzadas, señalización horizontal y vertical, limpieza de franja de dominio.",Gs. 89.744.478.576,Colonia Río Verde - Tte. Manuel Irala Fernández - Loma Planta - Neuland - Villa Choféres del Chaco- Cruce Filadelfia - Mcal. Estigarribia,"Mejoramiento de tramos en la Ruta N° 9 : Km. 326 - Km. 525 (Mariscal Estigarribia) y Accesos a Loma Plata, Neuland y Filadelfia",17,Pavimentación Asfáltica
92%,M&T S.A.,Paraguarí - Paraguarí,EN CONSTRUCCIÓN,207 kms,"Sáb, 01 Octubre 2016","Lun, 01 Agosto 2016",Fondo Local,Mejoramiento de Transitabilidad de caminos no pavimentados en los Departamentos de Paraguarí. Lote 27,Gs. 14.989.447.551,Paraguarí,Mejoramiento de Transitabilidad de caminos no pavimentados en los Departamentos de Paraguarí.,,Mejoramiento de transitabilidad de caminos no pavimentados
76%,Consorcio TOCSA - ECOIMPA,Cordillera - Arroyos y Esteros,EN CONSTRUCCIÓN,"148,50 kms.","Dom, 29 Mayo 2022","Mar, 24 Marzo 2015",Fondo Local,CREMA. Mantenimiento de Carreteras por Índices de Servicios Ruta Nacional N° 3 tramo: Limpio - Emboscada - Arroyos y Esteros - 25 de Diciembre - San Estanislao - Rotonda Arroyo Tapiracuay -Rotonda Calle 6000,Gs. 264.912.426.171,Limpio - Arroyos y Esteros - San Estanislao - Rotonda Arroyo Tapiracuay -Rotonda Calle 6000,Mantenimiento de Carreteras por Índices de Servicios Ruta Nacional N° 3 tramo: Limpio - Arroyos y Esteros - San Estanislao - Rotonda Arroyo Tapiracuay - Rotonda Calle 6000,64,Rehabilitación y Mantenimiento de Rutas Pavimentadas (CREMA)
100%,Sotec S.A.,Caaguazú - Caaguazú,FINALIZADA,253 kms,"Mar, 30 Agosto 2016","Vie, 01 Julio 2016",Fondo Local,Mejoramiento de Transitabilidad de caminos no pavimentados en el Departamento de Caaguazú. Lote 16,Gs. 2.728.673.057,Caaguazú,Mejoramiento de Transitabilidad de caminos no pavimentados en el Departamento de Caaguazú.,,Mejoramiento de transitabilidad de caminos no pavimentados
100%,Cabañas Construcciones,Cordillera - Itacurubí de la Cordillera,EN REPARACIÓN,82 kms,"Vie, 26 Agosto 2016","Lun, 30 Noviembre 2015",Fondo Local,Trabajos de Mejoramiento de Franja de Dominio de Carreteras por Niveles de Servicio Lote 13 y Lote 36,Gs. 838.200.000,Cordillera - Caaguazú,Trabajos de Mejoramiento de Franja de Dominio de Carreteras por Niveles de Servicio Lote 13 y Lote 36,,Mejoramiento de Franja de Dominio
0%,Sotec S.A.,Itapúa - Encarnación,FINALIZADA,214 kms.,"Mar, 30 Agosto 2016","Vie, 01 Julio 2016",Fondo Local,Mejoramiento de Transitabilidad de caminos no pavimentados en el Departamento de tapúa.,Gs. 2.333.199.842,Itapúa,Mejoramiento de Transitabilidad de caminos no pavimentados en el Departamento de tapúa.,,Mejoramiento de transitabilidad de caminos no pavimentados
0%,Jerovia Construcciones,Central - Ypacaraí,EN CONSTRUCCIÓN,40,"Mié, 30 Noviembre 2016","Lun, 30 Noviembre 2015",Fondo Local,Trabajos de Mejoramiento de Franja de Dominio de Carreteras por Niveles de Servicio Lote 27 y Lote 38,Gs. 430.800.000,Central - Paraguarí,Trabajos de Mejoramiento de Franja de Dominio de Carreteras por Niveles de Servicio Lote 27 y Lote 38,,Mejoramiento de Franja de Dominio
100%,Sotec S.A.,Itapúa - San Pedro del Paraná,FINALIZADA,144 kms,"Mar, 23 Junio 2015","Jue, 02 Mayo 2013",BID,Construcción de Puentes de Hormigón Armado en varios tramos,Gs. 7.758.818.613,San Pedro del Paraná - Fram,Construcción de Puentes de Hormigón Armado en varios tramos,,Puente de Hormigón Armado
65%,EDIVISA,Guairá - Borja,EN CONSTRUCCIÓN,210,"Jue, 21 Junio 2018","Lun, 03 Febrero 2014",JICA,Construcción de Puentes de HºAº en varios tramos. Paquete 4,Gs. 13.224.271.001,Col. Independencia - Mbuyapey - Borja - Yataity - Dr. Botrell - Natalicio Talavera,Construcción de Puentes de Hormigón Armado en varios tramos.,43,Puente de Hormigón Armado
100%,Yukon S.A.,Canindeyú - Yasy Cañy,FINALIZADA,194 kms,"Mié, 25 Mayo 2016","Mié, 25 Noviembre 2015",Fondo Local,"Trabajos de Mejoramiento de Franja de Dominio de Carreteras por Niveles de Servicio.
Lote 10: Ruta N°10 (empalme Capiibary - Cruce del Distrito Ybyrapyta) 60 kms.
Lote 11: Rota N°10 (Cruce del Distrito Ybyrapyta - Cruce Supercarretera).
Lote 12: Ruta N°10 Cruce Supercarretera - Río Piratiy (incluye el puente Río Piratiy).",Gs. 2.826.318.759,Canindeyú,"Trabajos de Mejoramiento de Franja de Dominio de Carreteras por Niveles de Servicio Lote 10, Lote 11 y Lote 12",,Mejoramiento de Franja de Dominio
100%,Consorcio Occidental,Alto Paraguay - Bahía Negra,EN CONSTRUCCIÓN,"199,50 Kms.","Jue, 06 Agosto 2015","Lun, 02 Febrero 2015",Fondo Local,"Mejoramiento de Transitabilidad de caminos no pavimentados en la Región Occidental (Chaco). Lote 1
Los tramos ejecutados por el Consorcio Occidental son: Bahía Negra – Línea 28, Toro Pampa – Bahía Negra y Toro Pampa – Fuerte Olimpo.",Gs. 9.981.081.772,Toro Pampa – Bahía Negra – Fuerte Olimpo,Mejoramiento de Transitabilidad. Lote 1 - (Chaco),6,Rehabilitación de Tramos
61%,INGAER S.A.,Guairá - Paso Yobái,EN CONSTRUCCIÓN,205,"Lun, 04 Junio 2018","Lun, 03 Febrero 2014",JICA,Construcción de Puentes de HºAº en varios tramos. Paquete 5,Gs. 12.915.381.606,Troche - Colonia Independencia - Paso Yobai,Construcción de Puentes de Hormigón Armado en varios tramos.,52,Puente de Hormigón Armado
77%,Sotec S.A.,Guairá - Paso Yobái,EN CONSTRUCCIÓN,139,"Sáb, 02 Junio 2018","Lun, 03 Febrero 2014",JICA,Construcción de Puentes de HºAº en varios tramos. Paquete 2,Gs. 16.985.988.651,Paso Yobai - Colonia Independencia,Construcción de Puentes de Hormigón Armado en varios tramos.,42,Puente de Hormigón Armado
73%,Ing. Carlos Gueyraud,Misiones - Yabebyry,EN CONSTRUCCIÓN,71 kms.,"Jue, 05 Abril 2018","Lun, 03 Febrero 2014",JICA,Construcción de Puentes de Hormigón Armado en varios tramos.,Gs. 9.242.954.923,Yabebyry - Santa Rosa,Construcción de Puentes de Hormigón Armado en varios tramos,50,Puente de Hormigón Armado
100%,Vivero Ka'avoty,Caaguazú - Caaguazú,FINALIZADA,167 kms,"Mié, 23 Noviembre 2016","Lun, 23 Noviembre 2015",Fondo Local,"Trabajos de Mejoramiento de Franja de Dominio de Carreteras por Niveles de Servicio Lote 15 , Lote 18 y Lote 34",Gs. 2.809.800.000,Caaguazú - Central - Paraguarí,"Trabajos de Mejoramiento de Franja de Dominio de Carreteras por Niveles de Servicio Lote 15 , Lote 18 y Lote 34",,Mejoramiento de Franja de Dominio
89%,Consorcio Ypané,Concepción - Horqueta,EN CONSTRUCCIÓN,120 metros,"Sáb, 01 Julio 2017","Jue, 01 Septiembre 2016",Fondo Local,Contrucción de Puente Mixto sobre el Río Ypané en el tramo Tacuati - Horqueta,Gs. 16.237.013.680,Tacuati - Horqueta,Contrucción de Puente Mixto sobre el Río Ypané en el tramo Tacuati - Horqueta,,Puente Mixto
90%,Arenales S.A.,Paraguarí - Ybycuí,EN CONSTRUCCIÓN,86,"Mar, 15 Mayo 2018","Lun, 03 Febrero 2014",JICA,Construcción de Puentes de HºAº en varios tramos. Paquete 1,Gs. 8.887.795.597,Ybycuí - Quyquyho,Construcción de Puentes de Hormigón Armado en varios tramos.,51,Puente de Hormigón Armado
0%,Consorcio M&N,San Pedro - San Pablo,EN CONSTRUCCIÓN,75 metros,"Mar, 01 Agosto 2017","Sáb, 01 Octubre 2016",Fondo Local,Construcción de aliviadero sobre el río Jejuí,Gs. 4.950.673.660,San Pedro - San Pablo,Construcción de aliviadero sobre el río Jejuí,,Puente de Hormigón Armado
100%,Sergio Elias Gavilán Martinez,Concepción - Concepción,FINALIZADA,98 metros,"Dom, 30 Octubre 2016","Vie, 22 Julio 2016",Fondo Local,"Rehabilitación y refuerzo de 7 Puentes de H°A° en la Ruta N° 5 ""Gral. Bernardino Caballero"" sobre los siguientes causes:
A° Espajin - A° Yby Yau - A° Yaguary Guazu - A° Ñea - A° Piky - A° Sin Nombre - A° Guavira.",Gs. 8.802.293.175,Concepción - Amambay,"Rehabilitación y refuerzo de Puentes de H°A° en la Ruta N° 5 ""Gral. Bernardino Caballero""",,Puente de Hormigón Armado
90%,Ing. Miguel Ángel Chávez Haussman,Paraguarí - Caapucú,FINALIZADA,145 kms.,"Mar, 27 Junio 2017","Lun, 03 Febrero 2014",JICA,Construcción de Puentes de HºAº en varios tramos.,Gs. 10.669.238.813,Quiindy - Caapucú,Construcción de Puentes de Hormigón Armado en varios tramos.,40,Puente de Hormigón Armado
0%,Iniciativas Constructivas S.A.,Concepción - Horqueta,FINALIZADA,68,"Mié, 01 Junio 2016","Mar, 01 Diciembre 2015",Fondo Local,"Trabajos de Mejoramiento de Franja de Dominio de Carreteras por Niveles de Servicio Lote 6, Ruta N° 5 Horqueta ( Monumento entrada) - Yby Yau (Empalme Ruta N°3)",Gs. 824.660.760,Concepción,"Trabajos de Mejoramiento de Franja de Dominio de Carreteras por Niveles de Servicio Lote 6, Ruta N° 5 Horqueta ( Monumento entrada) - Yby Yau (Empalme Ruta N°3)",,Mejoramiento de Franja de Dominio
0%,Bienvenido Gimenez Benitez,Canindeyú - Salto del Guairá,EN CONSTRUCCIÓN,"52,00","Dom, 12 Febrero 2017","Vie, 12 Agosto 2016",Fondo Local,Mejoramiento de Franja de Dominio de Carreteraspor Niveles de Servicio en la ruta N° 10. (Cruce calle 6000 - Empalme Capiibary),Gs. 769.600.000,San Pedro - Canindeyú,Mejoramiento de Franja de Dominio de Carreteraspor Niveles de Servicio en la ruta N° 10. (Cruce calle 6000 - Empalme Capiibary),,Mejoramiento de Franja de Dominio
85%,Ing. Enrique Parisi,Paraguarí - Acahay,EN CONSTRUCCIÓN,12,"Dom, 29 Octubre 2017","Lun, 03 Febrero 2014",JICA,Construcción de Puentes de HºAº en varios tramos. Paquete 3,Gs. 3.851.736.719,Acahay - Mbuyapey - Borja,Construcción de Puentes de HºAº en varios tramos.,44,Puente de Hormigón Armado
0%,Bienvenido Gimenez Benitez,San Pedro - San Pedro de Ycuamandyyú,EN CONSTRUCCIÓN,46 kms.,"Mié, 25 Enero 2017","Lun, 25 Julio 2016",Fondo Local,Mejoramiento de Franja de Dominio de Carreteraspor Niveles de Servicio en la ruta N° 3. desvío Ruta N° 11 Santa Rosa del Aguaray - Limite departamental San Pedro (Río Ypané),Gs. 585.200.000,San Pedro,Mejoramiento de Franja de Dominio de Carreteraspor Niveles de Servicio en la ruta N° 3. desvío Ruta N° 11 Santa Rosa del Aguaray - Limite departamental San Pedro (Río Ypané),,Mejoramiento de Franja de Dominio
0%,Consultoría Y Servicios de Ingeniería S.A.,Misiones - San Juan Bautista,EN CONSTRUCCIÓN,137 kms.,"Jue, 24 Noviembre 2016","Mar, 24 Noviembre 2015",Fondo Local,"Trabajos de Mejoramiento de Franja de Dominio de Carreteras por Niveles de Servicio Lote 22, Lote 23 y Lote 24",Gs. 3.218.040.000,Misiones - Itapúa,"Trabajos de Mejoramiento de Franja de Dominio de Carreteras por Niveles de Servicio Lote 22, Lote 23 y Lote 24",,Mejoramiento de Franja de Dominio
0%,Jonica S.A.,Concepción - Loreto,FINALIZADA,75,"Mié, 23 Julio 2014","Vie, 24 Enero 2014",Fondo Local,Construcción de Puentes de HºAº en varios tramos.,Gs. 6.483.780.205,Loreto - Azotey - Pedro Juan Caballero,Construcción de Puentes de Hormigón Armado en varios tramos,,Puente de Hormigón Armado
0%,Carlos Ruben Oviedo Centurión,Paraguarí - Quiindy,EN CONSTRUCCIÓN,50 kms,"Dom, 22 Enero 2017","Vie, 22 Julio 2016",Fondo Local,Mejoramiento de Franja de Dominio de Carreteras por Niveles de Servicio en la ruta N°1. (Fin de zona urbana de Quiindy - Cabecera del puente Tebicuary en Villa Florida),Gs. 600.000.000,Paraguarí,Mejoramiento de Franja de Dominio de Carreteraspor Niveles de Servicio en la ruta N° 1.(Fin de zona urbana de Quiindy - Cabecera del puente Tebicuary en Villa Florida),,Mejoramiento de Franja de Dominio
0%,Arq. Ana Luci Porro,San Pedro - General Elizardo Aquino,EN CONSTRUCCIÓN,75 kms,"Sáb, 23 Agosto 2014","Lun, 24 Febrero 2014",Fondo Local,Construcción de Puentes de HºAº en varios tramos,Gs. 6.117.310.780,Gral. Aquino - Capiibary - Simón Bolívar,Construcción de Puentes de Hormigón Armado en varios tramos,,Puente de Hormigón Armado
22%,J L y Cia S.A.,Itapúa - Encarnación,EN CONSTRUCCIÓN,33 kms.,"Sáb, 22 Julio 2017","Vie, 22 Julio 2016",Fondo Local,Mejoramiento de Franja de Dominio de Carreteras por Niveles de Servicio en la ruta N° 1. Lote 6,Gs. 752.400.000,Itapúa,Mejoramiento de Franja de Dominio de Carreteras por Niveles de Servicio en la ruta N° 1.,,Mejoramiento de Franja de Dominio
0%,Ingemant S.A..,Concepción - Azotey,FINALIZADA,51,"Lun, 30 Mayo 2016","Lun, 30 Noviembre 2015",Fondo Local,"Trabajos de Mejoramiento de Franja de Dominio de Carreteras por Niveles de Servicio Lote 4, Ruta N°3 Limite Departamental San Pedro (Río Ypané) - Empalme Ruta N° 5 (Yby Yau)",Gs. 850.000.000,Concepción,"Trabajos de Mejoramiento de Franja de Dominio de Carreteras por Niveles de Servicio Lote 4, Ruta N°3 Limite Departamental San Pedro (Río Ypané) - Empalme Ruta N° 5(Yby Yau)",,Mejoramiento de Franja de Dominio
100%,Estructura Ingeniería S.A.,Cordillera - Caacupé,FINALIZADA,30,"Sáb, 23 Agosto 2014","Lun, 24 Febrero 2014",Fondo Local,"Construcción de Puentes de hormigón armado en varios tramos.
Originalmente se previó la ejecución de 75 metros lineales (5 puentes) pero debido a inconvenientes con los sitios de implantación de los puentes y otros temas, se acordó con la contratista la ejecución de 30 metros lineales (2 puentes). Estos trabajos fueron finalizados en Diciembre/2017.",Gs. 6.415.443.333,Cordillera – Caaguazú,Construcción de Puentes de Hormigón Armado en varios tramos.,,Puente de Hormigón Armado
100%,Pilar Constructora S.R.L.,Misiones - San Juan Bautista,FINALIZADA,75 kms.,"Lun, 22 Septiembre 2014","Mié, 26 Marzo 2014",Fondo Local,Construcción de Puentes de HºAº en varios tramos,Gs. 6.029.335.835,San Juan Bautista - Sta. María - Hohenau - Obligado - San Pedro del Paraná - La Paz - San Rafael del Paraná,Construcción de Puentes de Hormigón Armado en varios tramos.,,Puente de Hormigón Armado
0%,Proel Ingeniería,Paraguarí - Escobar,EN CONSTRUCCIÓN,132,"Vie, 25 Noviembre 2016","Mié, 25 Noviembre 2015",Fondo Local,"Trabajos de Mejoramiento de Franja de Dominio de Carreteras por Niveles de Servicio Lote 16, Lote 17 y Lote 19",Gs. 3.595.705.896,Paraguarí - Guairá,"Trabajos de Mejoramiento de Franja de Dominio de Carreteras por Niveles de Servicio Lote 16, Lote 17 y Lote 19",,Mejoramiento de Franja de Dominio
